route_name,parent_sector,route_ID,sector_ID,type_string,fa,YDS,Vermin,nopm_YDS,nopm_Vermin,YDS_rank,Vermin_rank,safety,parent_loc,description,location,protection,corrected_users_ratings
Stairway to Heaven,Drive In Wall,106956280,106947227,trad,unknown,5.7,,5.7,,73.0,,,"[-91.5625, 42.614]","['Climb the large flake right of Slot Machine to a ledge.  Move into left crack for harder, cleaner finish or move right to bush whack to the top.  Good lead for 5.7, tricky gear.']",,"['SR, tricams are handy.']","[('e9977e5af38e002307bada00a10a9e3cdd990c80', 1.0), ('a4a0781ac4f40e0fe97b6d39713d745486d91095', 3.0), ('e1c123100da30899a231bd6e7669cb27488a4668', 3.0), ('f158bfffad5ffa50c5616fe5416d3b5eaea90692', 3.0), ('a8521adfd060dff503b334d0565d2fca11e9a4d8', 2.0), ('b1d42de110fc80993b097e17fd8e7e2cb394e56b', 2.0), ('9ab78f4890484830bfaf085c46d4961fc24e800a', 3.0), ('2496646098000c04ef9f47585cf7de960a1f9255', 4.0), ('487b4d9da0df3c64138aaea9143f8681edf08f67', 2.0), ('654b9901bee0af1e49f58824de36d4a44a25df37', 3.0)]"
Cake Walk,Cake Walk and Razor Wall,106956306,106947239,trad,unknown,5.0,,5.0,,3.0,,,"[-91.5625, 42.614]",['Obvious chimney half way up the gully.  Several variations.  Expect to find scout troops camped out on this climb.'],,['SR'],"[('2496646098000c04ef9f47585cf7de960a1f9255', 2.0), ('b1d42de110fc80993b097e17fd8e7e2cb394e56b', 2.0)]"
Spinal Tap,Drive In Wall,106956299,106947227,trad,unknown,5.7+,,5.7/8,,75.0,,,"[-91.5625, 42.614]","['Vertical hand crack to the right of Stairway to Heaven.  Climb crack to overhanging off-width (crux).  Above is easy, dirty climbing to top.']",,['SR'],"[('8875f56e2c92eb01d7a299bbe89b9b4af4dd4034', 1.0), ('2496646098000c04ef9f47585cf7de960a1f9255', 3.0), ('444def47ab1bc2eef3ed8b35cdb3f4fabb4a0c91', 3.0), ('f12a546bb13fcd090aabe0c38b8c4fe193d32984', 1.0)]"
Slot Machine,Drive In Wall,106956271,106947227,trad,unknown,5.8,,5.8,,83.0,,,"[-91.5625, 42.614]",['Large off-width/squeeze chimney in the center of the wall.  Very polished as this is where every one seems to camp out.'],,"['SR, there is a chock stone about half way up you can sling.']","[('f12a546bb13fcd090aabe0c38b8c4fe193d32984', 2.0), ('041592f85235b2316561ca1f2c03cb2b40747462', 3.0), ('7e401101a310112bf92202f673aadef9cdc1278e', 4.0), ('defb85f48f583ed32bc5db1f6c8d1f16963d0c87', 2.0), ('ccb0a6f1137375d369c7bcf0f7200c49f5aa30c7', 3.0), ('e3cded4da242d20663565bf14c58510a23c413e0', 1.0), ('e1c123100da30899a231bd6e7669cb27488a4668', 3.0), ('01b3cad5492e99a5fec8b2724dbffe5797840872', 3.0), ('a8521adfd060dff503b334d0565d2fca11e9a4d8', 2.0), ('b1d42de110fc80993b097e17fd8e7e2cb394e56b', 2.0), ('2496646098000c04ef9f47585cf7de960a1f9255', 2.0), ('444def47ab1bc2eef3ed8b35cdb3f4fabb4a0c91', 3.0), ('487b4d9da0df3c64138aaea9143f8681edf08f67', 3.0), ('654b9901bee0af1e49f58824de36d4a44a25df37', 3.0)]"
Lefty and Poncho,Drive In Wall,106956212,106947227,trad,unknown,5.10b,,5.10b,,102.0,,R,"[-91.5625, 42.614]",['Diagonal hand crack that starts on the left side of the wall.  Joins the route A-Wall then tops out.  The wall above the crack is not able to be protected.'],,"['SR, upper head wall not protected.']","[('2496646098000c04ef9f47585cf7de960a1f9255', 2.0)]"
A-Wall,Drive In Wall,106956228,106947227,trad,unknown,5.10a,,5.10a,,100.0,,R,"[-91.5625, 42.614]",['Vertical hand crack right of the diagonal crack Lefty and Poncho.  The crack disappears two thirds of the way up.  Continue on slopers and pockets to top.'],,"['SR, mostly hand size.  Upper head wall is not able to be protected.']","[('e9977e5af38e002307bada00a10a9e3cdd990c80', 2.0), ('a4a0781ac4f40e0fe97b6d39713d745486d91095', 3.0), ('7e401101a310112bf92202f673aadef9cdc1278e', 3.0), ('ccb0a6f1137375d369c7bcf0f7200c49f5aa30c7', 3.0), ('e3cded4da242d20663565bf14c58510a23c413e0', 2.0), ('2496646098000c04ef9f47585cf7de960a1f9255', 3.0), ('487b4d9da0df3c64138aaea9143f8681edf08f67', 3.0), ('654b9901bee0af1e49f58824de36d4a44a25df37', 3.0)]"
Monkey Spank Mayhem,Windy Point,106088385,106087984,sport,unknown,5.12a,,5.12a,,120.0,,,"[-91.09831, 42.21813]",['Opening dyno followed by more long moves.'],"['#3rd route on the left, to the right of Fat Chicks.']","['5 bolts, rap hangers.']","[('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 3.0)]"
Lesbian Knife Fight,Windy Point,106088390,106087984,sport,unknown,5.11d,,5.11d,,116.0,,,"[-91.09831, 42.21813]",['An easy 5.6 section to the left of a chossy arete leads you to a bulge and some hidden holds.'],['To the right of Monkey Spank.'],"['bolts, anchor.']","[('295f99eb00314942da6538ee822e289dc7745da6', 3.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 4.0), ('90f9beb3d15182a0caac21cce018b687f82757c6', 3.0), ('c780642bf12389ab5129246539fa201779dea2ec', 3.0), ('3d8a1052fd28f5d3eb5242c50a4abbf8c36607b1', 4.0), ('d4044315e2e4b2f5f5cf3a22c430f32a4fa80f73', 2.0), ('0634004e1821cb9c631f7860953e370e7afdad3a', 4.0), ('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0)]"
Transparent,T-Wall,118092087,113222957,sport,Troy Davison,5.12b/c,,5.12b/c,,123.0,,,"[-91.10334, 42.2079]",['Technical and strength route. Start on small hold to a two figure pocket. Then to a left hand ledge. Go up to good pockets. Have fun.'],['Farthest right on T wall.'],['Fixed biners at the anchors.'],"[('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('c780642bf12389ab5129246539fa201779dea2ec', 4.0), ('0634004e1821cb9c631f7860953e370e7afdad3a', 4.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 3.0)]"
Sneaky D.L. Fingers on the Hush Hush,T-Wall,113222977,113222957,sport,James Edge,5.12a,,5.12a,,120.0,,R,"[-91.10334, 42.2079]","['The crux is right off the ground. The first move is probably the hardest. The next 3 are still hard but become sequentially easier. The first few holds are wet, so bring a rag to dry them off. The route becomes significantly easier from there on up.']",['This is the left most route on the T Wall.'],"[""I would highly recommend clipping at least the first 2 bolts before trying the route. It's an easy repel down, or you can stick clip them.""]","[('c780642bf12389ab5129246539fa201779dea2ec', 3.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 3.0), ('f4eb1293be72ed6347d6baa8ed547eb527c8bcc4', 4.0), ('b09b9e71befd90bd87160aa53bf1fdf8c1b6dd77', 3.0), ('0634004e1821cb9c631f7860953e370e7afdad3a', 4.0), ('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('23902da79f99036f20a4d5fd9b83d21d7997faf1', 3.0)]"
Jimmy Edge,T-Wall,113711237,113222957,sport,unknown,5.12d,,5.12d,,126.0,,R,"[-91.10334, 42.2079]","[""I couldn't find a definitive crux. I think this route offers some pretty amazing movement. Movement that I've never gotten the opportunity to do on any other route in Iowa. I also really enjoyed this route because I felt that it is not too strenuous on the fingers, but it requires full body engagement the whole way through. Thank you Troy Davison for taking the time to bolt this amazing line!""]",['The route is the middle of the three routes on the T-Wall. The start is on the left of the bolt line.'],"[""This route requires 5 bolts and the anchors. I recommend clipping the first 2 bolts to keep it safe and fun, as the landing could be bad if you don't. I also suggest brining a friend along who offers their full support. Thanks, James!""]","[('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 4.0), ('0634004e1821cb9c631f7860953e370e7afdad3a', 4.0)]"
Monster Crack,Backbone West,112062265,106956359,trad,unknown,5.10c,,5.10c,,104.0,,,"[-91.5625, 42.614]","['*Copied description from climbing.com**', '', '""THE CLASSIC HARD BACKBONE CLIMB. Climb the thin crack to a dihedral (about 45 ft up). Stem the dihedral to a ledge. Top out on a hard hanging offwidth. (~70 feet)""', '', ""50' to the left of Devil's Hideaway (the one with the obvious roof).""]",,['Trees near the top you can sling for anchors.'],"[('7e401101a310112bf92202f673aadef9cdc1278e', 3.0), ('4682bcc20e9ad6272ec92418a12b55b80edc56ab', 3.0)]"
Devil's Hideaway,Backbone West,107717918,106956359,trad,unknown,5.11b,,5.11b,,112.0,,,"[-91.5625, 42.614]",['25 feet right of Monster Crack. Climb the hand crack up to the large roof. Go left through the roof and the hold all but disapear.'],['Follow The Backbone Trail down to the west side and loop back to the bend in the river. There are several steep short cuts for a more adventurous trip to the bottom.'],['Set top rope anchors from two trees directly above the route'],"[('487b4d9da0df3c64138aaea9143f8681edf08f67', 3.0), ('e3cded4da242d20663565bf14c58510a23c413e0', 3.0)]"
Wild Iowa,Wild Iowa Wall,106087200,106087032,sport,unknown,5.11b,,5.11b,,112.0,,,"[-91.10185, 42.20952]","['lots of bad 2 finger pockets, the grade can be disputed.']",['1st route on the left.'],"['3 bolts, rap hangers.']","[('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 2.0), ('c780642bf12389ab5129246539fa201779dea2ec', 1.0), ('c3f5ebc8a771f662fb59dad83064e791bb58c7b3', 2.0), ('41e9176a918410eb2951699d21bc7456e4a570c0', 2.0), ('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('aa095fb389f670e9a6ec829040e3f51f40be0466', 1.0), ('975fab6c2e77ba0a95c1943fcd4749152fb991fe', 1.0)]"
Virgin Lemonade,Wild Iowa Wall,106087040,106087032,sport,unknown,5.10a,,5.10a,,100.0,,,"[-91.10185, 42.20952]","['somewhat polished, grade is more consistant than Atropine']",['Left of atropine'],"['3 bolts, rap hangers']","[('ab27ce5257293fadfd767ae8df0b4fb9fa4c5b1a', 3.0), ('7fd56479fe7b5594f2a3d83e180506af0b474907', 3.0), ('927328ad3ce51ff079ce30b274d2bcc81c69af3e', 2.0), ('fd314bfdc622e044f90462b4f292ce098ebfc5ee', 2.0), ('0b344671a0b9b2e49012097d0b9ae48ba444d13e', 3.0), ('c3f5ebc8a771f662fb59dad83064e791bb58c7b3', 2.0), ('1685717541b3763005c89bfc5890169a44447b4c', 3.0), ('8308c4e63cba0bf66193e8a9d99c152d1c545ed9', 3.0), ('d4044315e2e4b2f5f5cf3a22c430f32a4fa80f73', 3.0), ('774d1caf38afd85b56d220a085eba83262162495', 3.0), ('bec93dda6b6937104414247626b0031daf1b67dd', 3.0), ('8ea5155403e3066bfc6774447f04b9bdeffd466a', 3.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 3.0), ('41e9176a918410eb2951699d21bc7456e4a570c0', 4.0), ('a2d21445b94fc761092c1d67c037678ad118b9c8', 3.0), ('b1d42de110fc80993b097e17fd8e7e2cb394e56b', 3.0), ('e008c4f44d4eea0a265e42adf06ec371afc08506', 3.0), ('5b0d3dfd488225fcc522bf05cc3a2c699eb8dba2', 3.0), ('d3c1d1b868025a18547378b774e4d3a9ffb6d75a', 2.0), ('1155fa481f7d9e9d866af083c5fff7527ef2bc2c', 3.0), ('a5b2bf38216c1a19072d5f81139ba87dd21582d9', 3.0), ('1bc2fa7ff357c85e36b42d920f1ab580fa757785', 2.0), ('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('1a812d868a5a9d4aa975194a89af6d5eeb874b20', 2.0), ('041592f85235b2316561ca1f2c03cb2b40747462', 3.0), ('94d0bee2525644652c7942e72e9c042cfeb52172', 1.0), ('c780642bf12389ab5129246539fa201779dea2ec', 2.0), ('ccb0a6f1137375d369c7bcf0f7200c49f5aa30c7', 3.0), ('e3cded4da242d20663565bf14c58510a23c413e0', 1.0), ('cd07639ac15d62700679dde18ad89dd1106035c4', 3.0), ('b09b9e71befd90bd87160aa53bf1fdf8c1b6dd77', 3.0), ('48eb90218248c21a473ce52d6ada8cb87e885704', 3.0), ('aa095fb389f670e9a6ec829040e3f51f40be0466', 1.0), ('975fab6c2e77ba0a95c1943fcd4749152fb991fe', 3.0)]"
Territorial Pissings,Wild Iowa Wall,106087191,106087032,sport,unknown,5.12a,,5.12a,,120.0,,,"[-91.10185, 42.20952]","['From my observations, the difficulty of this climb is more consistent than Soul.']",['Route to the left of Soul Ignition.'],"['4 bolts, rap hangers.']","[('9349a30a27f5acf12d775a18e4336c1fcc993a17', 3.0), ('6629764e5171d790bf80321fe076fce6380ee481', 4.0), ('dc6197efbabda1ce466dd25bb72b280d59f78ddf', 3.0), ('c3f5ebc8a771f662fb59dad83064e791bb58c7b3', 3.0), ('0634004e1821cb9c631f7860953e370e7afdad3a', 4.0), ('8308c4e63cba0bf66193e8a9d99c152d1c545ed9', 3.0), ('23902da79f99036f20a4d5fd9b83d21d7997faf1', 3.0), ('be2dfcab0c4fe8516b71eba1fb607b13a62605af', 3.0), ('f937c683580bdbc4c694f64b89455c9dfe967881', 4.0), ('66e395897b1343f1a88a147001e5526ade48718a', 1.0), ('0e16ccc1cfa67e7c9b1c3ace47d6c37bae7fe0ba', 3.0), ('a2d21445b94fc761092c1d67c037678ad118b9c8', 4.0), ('ddca1ff2f152f7520fedd90aa5195ce66c9c8a45', 3.0), ('61526e4e623a4485c886fa9eb3942d4bbe50bb9e', 4.0), ('1a812d868a5a9d4aa975194a89af6d5eeb874b20', 3.0), ('041592f85235b2316561ca1f2c03cb2b40747462', 3.0), ('c780642bf12389ab5129246539fa201779dea2ec', 3.0), ('e3cded4da242d20663565bf14c58510a23c413e0', 3.0), ('ef22068380aa707b21727295edbf15fcea0e84e0', 3.0), ('b09b9e71befd90bd87160aa53bf1fdf8c1b6dd77', 3.0), ('aa095fb389f670e9a6ec829040e3f51f40be0466', 2.0), ('975fab6c2e77ba0a95c1943fcd4749152fb991fe', 3.0)]"
